Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://blazedemo.com/,100,1639,823,7164,7815,9071,295,9215,0.000%,5.44484,1531.56,24.48
Test,100,1639,823,7164,7815,9071,295,9215,0.000%,5.94849,1673.23,26.74
https://blazedemo.com/reserve.php,100,2111,762,7251,7351,7439,217,7439,0.000%,3.70741,30.00,19.39
Find Flights,100,2111,762,7251,7351,7439,217,7439,0.000%,3.61481,29.25,18.90
https://blazedemo.com/purchase.php,100,1881,970,6610,6822,10036,224,12446,0.000%,2.57778,19.32,13.60
Select a Flight,100,1881,970,6610,6822,10036,224,12446,0.000%,2.50910,18.81,13.24
https://blazedemo.com/confirmation.php,100,2138,1298,5934,6401,8873,296,9607,0.000%,1.20947,7.96,6.54
Pay the Flight,100,2138,1298,5934,6401,8873,296,9607,0.000%,.87606,5.77,4.74
TOTAL,800,1942,886,6788,7335,9071,217,12446,0.000%,6.21296,471.34,31.70
